"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149 / 주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-04-01 ~ 2024-03-17"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"30","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제1종근린생활","25m이상","34.17"," ","        50,370","2","-","-","202310","31","지분","2020","20231124","직거래","-"
"31","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제1종근린생활","25m이상","97.36"," ","       120,460","3","-","-","202310","31","지분","2020","20231124","직거래","-"
"32","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.43"," ","        24,000","","-","-","202307","14","","1998","-","직거래","-"
"33","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제2종근린생활","25m이상","97.36"," ","       114,460","4","-","-","202310","31","지분","2020","20231124","직거래","-"
"34","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제2종근린생활","25m이상","97.36"," ","       114,460","5","-","-","202310","31","지분","2020","20231124","직거래","-"
"35","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제1종근린생활","25m이상","31.97"," ","        47,050","2","-","-","202310","31","지분","2020","-","직거래","-"
"36","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제1종근린생활","25m이상","39.40"," ","       122,330","1","-","-","202310","31","지분","2020","-","직거래","-"
"37","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.41"," ","        23,500","","-","-","202304","04","","1998","-","직거래","-"
"38","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.41"," ","        24,000","","-","-","202306","30","","1998","-","직거래","-"
"39","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제1종근린생활","25m이상","31.97"," ","        47,170","2","-","-","202310","31","지분","2020","20231124","직거래","-"
"40","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","6.61"," ","        15,000","","-","-","202310","05","","1990","-","중개거래","서울 강남구"
"41","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","10.15"," ","        25,000","","-","-","202309","12","","1998","-","직거래","-"
"42","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.44"," ","        24,000","","-","-","202310","11","","1998","-","직거래","-"
"43","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제2종근린생활","25m이상","119.20"," ","       133,460","","-","-","202310","31","지분","2020","20231124","직거래","-"
"44","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제2종근린생활","25m이상","119.20"," ","       133,330","","-","-","202310","31","지분","2020","-","직거래","-"
"45","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","6.50"," ","        16,000","","-","-","202305","17","","1990","-","중개거래","서울 강남구"
"46","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제2종근린생활","25m이상","97.36"," ","       114,340","5","-","-","202310","31","지분","2020","-","직거래","-"
"47","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.52"," ","        24,000","","-","-","202308","25","","1998","-","직거래","-"
"48","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.52"," ","        24,000","","-","-","202307","07","","1998","-","직거래","-"
"49","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.38"," ","        24,000","","-","-","202306","01","","1998","-","직거래","-"
"50","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제1종근린생활","25m이상","97.36"," ","       120,340","3","-","-","202310","31","지분","2020","-","직거래","-"
"51","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.52"," ","        24,000","","-","-","202308","29","","1998","-","직거래","-"
"52","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","6.78"," ","        16,000","","-","-","202305","17","","1990","-","중개거래","서울 강남구"
"53","서울특별시 성동구 옥수동","집합","1***","한림말길","제3종일반주거","제2종근린생활","25m미만","9.38"," ","        23,450","","-","-","202305","26","","1998","-","직거래","-"
"54","서울특별시 성동구 옥수동","집합","4***","독서당로40길","제3종일반주거","제1종근린생활","25m미만","6.16"," ","        15,000","","-","-","202310","05","","1990","-","중개거래","서울 강남구"
"55","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제1종근린생활","25m이상","39.40"," ","       122,450","1","-","-","202310","31","지분","2020","20231124","직거래","-"
"56","서울특별시 성동구 옥수동","집합","2***","독서당로","제2종일반주거","제2종근린생활","25m이상","97.36"," ","       114,340","4","-","-","202310","31","지분","2020","-","직거래","-"
"57","서울특별시 종로구 청운동","일반","1***","자하문로30길","제2종일반주거","제2종근린생활","-","124.88","102.0000","       117,000","","개인","개인","202401","25","","1998","-","직거래","-"
"58","서울특별시 종로구 청운동","일반","8***","자하문로35길","제1종일반주거","기타","8m미만","221.18","513.3333","       350,324","","-","-","202305","12","지분","1965","-","직거래","-"
"59","서울특별시 종로구 청운동","집합","7***","자하문로","제2종일반주거","제1종근린생활","25m이상","82.27"," ","        80,000","1","-","-","202308","14","","1991","-","중개거래","서울 종로구 서울 중구"
"60","서울특별시 종로구 청운동","집합","7***","자하문로","제2종일반주거","제2종근린생활","25m이상","55.53"," ","        32,000","5","-","-","202308","14","","1991","-","중개거래","서울 종로구 서울 중구"
"61","서울특별시 종로구 청운동","일반","8***","자하문로35길","제1종일반주거","기타","8m미만","132.71","308.0000","       210,194","","-","-","202305","12","지분","1965","-","직거래","-"
"62","서울특별시 종로구 청운동","일반","8***","자하문로35길","제1종일반주거","기타","8m미만","44.24","73.4667","        70,436","","-","-","202311","17","지분","1965","-","직거래","-"
"63","서울특별시 종로구 신교동","일반","5***","자하문로","제2종일반주거","제2종근린생활","25m이상","202.33","69.4000","       201,000","","-","-","202304","14","","1967","-","중개거래","서울 성동구"
"64","서울특별시 종로구 창성동","일반","1***","자하문로10길","제2종일반주거","제1종근린생활","-","868.04","389.4000","     1,350,000","","개인","법인","202401","29","","1982","-","중개거래","서울 강남구"
"65","서울특별시 종로구 통의동","일반","3***","효자로","제1종일반주거","제2종근린생활","25m미만","680.83","161.7000","       460,000","","-","-","202305","01","","1960","-","중개거래","서울 종로구"
"66","서울특별시 종로구 적선동","집합","8***","새문안로5가길","일반상업","제2종근린생활","25m이상","260.73"," ","       201,500","2","-","-","202309","13","","1986","-","직거래","-"
"67","서울특별시 종로구 적선동","집합","8***","새문안로5가길","일반상업","업무","25m이상","235.35"," ","       185,000","","-","-","202311","01","","1986","-","중개거래","서울 종로구"
"68","서울특별시 종로구 적선동","집합","1***","새문안로5가길","일반상업","제2종근린생활","25m미만","48.80"," ","        40,785","","-","-","202311","10","","2003","-","중개거래","경기 고양덕양구"
"69","서울특별시 종로구 적선동","집합","8***","새문안로5가길","일반상업","업무","25m이상","281.50"," ","       390,000","","-","-","202310","16","","1986","-","중개거래","서울 종로구"
"70","서울특별시 종로구 적선동","집합","8***","새문안로5가길","일반상업","제1종근린생활","25m이상","71.74"," ","        55,250","","-","-","202309","13","","1986","-","직거래","-"
"71","서울특별시 종로구 적선동","집합","8***","새문안로5가길","일반상업","제2종근린생활","25m이상","89.96"," ","        68,250","","-","-","202309","13","","1986","-","직거래","-"
"72","서울특별시 종로구 적선동","집합","8***","새문안로5가길","일반상업","제2종근린생활","25m이상","104.33"," ","        73,000","","-","-","202307","18","","1986","-","중개거래","서울 종로구"
"73","서울특별시 종로구 적선동","집합","1***","새문안로5가길","일반상업","제2종근린생활","25m미만","33.76"," ","        28,215","","-","-","202311","10","","2003","-","중개거래","경기 고양덕양구"
"74","서울특별시 종로구 통인동","일반","1***","자하문로13길","제2종일반주거","제2종근린생활","8m미만","302.88","198.3000","       360,000","","-","-","202308","20","","1972","-","직거래","-"
"75","서울특별시 종로구 통인동","일반","1***","자하문로7길","제2종일반주거","제1종근린생활","8m미만","399.02","214.9000","       445,000","","-","-","202304","28","","1988","-","중개거래","서울 종로구"
"76","서울특별시 종로구 누상동","일반","1***","필운대로5다길","제2종일반주거","제2종근린생활","8m미만","35.84","43.0000","        50,000","","-","-","202311","16","","2022","-","중개거래","서울 종로구"
"77","서울특별시 종로구 누상동","일반","1***","옥인3길","제2종일반주거","제2종근린생활","8m미만","154.60","94.4000","       115,000","","-","-","202311","16","","2011","-","중개거래","서울 종로구"
"78","서울특별시 종로구 누하동","일반","2***","필운대로","제2종일반주거","제1종근린생활","25m미만","61.28","53.8000","       128,000","","-","-","202304","21","","2000","20231102","중개거래","서울 강남구"
"79","서울특별시 종로구 누하동","일반","9***","필운대로5가길","제2종일반주거","제2종근린생활","8m미만","108.69","76.0000","       125,000","","-","-","202308","01","","1974","-","중개거래","서울 중구"
