,index,매장수,매장수/면적
0,0,91,2.3037974683544302
1,1,17,0.6913379422529483
2,2,6,0.2542372881355932
3,3,27,0.6513872135102533
4,4,12,0.4058167061210686
5,5,18,1.0550996483001174
6,6,14,0.6958250497017893
7,7,13,0.9984639016897082
8,8,14,0.39503386004514673
9,9,13,0.9142053445850914
10,10,11,0.6723716381418093
11,11,36,1.5094339622641508
12,12,22,1.2478729438457177
13,13,48,1.0219288907813497
14,14,14,0.8323424494649228
15,15,36,1.062573789846517
16,16,17,0.9764503159103963
17,17,41,1.6700610997963339
18,18,24,1.0973936899862826
19,19,14,0.47122181083810166
20,20,40,1.6729401923881222
21,21,54,5.421686746987952
22,22,8,0.43243243243243246
