,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,정류소타입,combined,address
6039,114000200,15304,신트리아파트,126.8538683824,37.5130325951,일반차로,"[126.8538683824, 37.5130325951]",양천구
6040,114000201,15305,정랑고개.양천벤처타운,126.8498548282,37.5116613527,일반차로,"[126.8498548282, 37.5116613527]",양천구
6041,114000202,15306,서부트럭터미널.신정동일하이빌아파트,126.842363,37.510935,일반차로,"[126.842363, 37.510935]",양천구
6042,114000203,15307,강신중학교,126.8403598507,37.5152713231,일반차로,"[126.8403598507, 37.5152713231]",양천구
6043,114000204,15308,남명초교.신정3동주민센터,126.8549125537,37.515076534,일반차로,"[126.8549125537, 37.515076534]",양천구
6044,114000205,15309,금옥중.금옥여고.백암고등학교,126.8445827103,37.5098523335,일반차로,"[126.8445827103, 37.5098523335]",양천구
6045,114000206,15310,양강중학교,126.85028,37.524862,일반차로,"[126.85028, 37.524862]",양천구
6046,114000207,15311,양강중학교,126.8495049505,37.5238498474,일반차로,"[126.8495049505, 37.5238498474]",양천구
6047,114000208,15312,신월2동주민센터입구.경창전통시장,126.8460404234,37.5231005832,일반차로,"[126.8460404234, 37.5231005832]",양천구
6048,114000209,15313,강서초등학교,126.8416789569,37.522025949,일반차로,"[126.8416789569, 37.522025949]",양천구
6049,114000210,15314,한빛종합사회복지관,126.8387477223,37.521341727,일반차로,"[126.8387477223, 37.521341727]",양천구
6050,114000211,15315,과학수사연구소입구,126.8369620025,37.5219046542,일반차로,"[126.8369620025, 37.5219046542]",양천구
6051,114000212,15316,서부트럭터미널.신정동일하이빌아파트,126.8423997674,37.5100886262,일반차로,"[126.8423997674, 37.5100886262]",양천구
6052,114000213,15317,신정현대아파트.서부트럭터미널,126.8429841108,37.5083597993,일반차로,"[126.8429841108, 37.5083597993]",양천구
6053,114000214,15318,넓은들공원,126.8392002136,37.5107961068,일반차로,"[126.8392002136, 37.5107961068]",양천구
6054,114000215,15319,넓은들공원,126.838645415,37.5110656513,일반차로,"[126.838645415, 37.5110656513]",양천구
6055,114000216,15320,신정현대아파트,126.842139551,37.5087818233,일반차로,"[126.842139551, 37.5087818233]",양천구
6056,114000217,15321,신정숲속마을아파트,126.8341353536,37.5064470434,일반차로,"[126.8341353536, 37.5064470434]",양천구
6057,114000218,15322,신정숲속마을아파트.댓골마을입구,126.8356122927,37.506763681,일반차로,"[126.8356122927, 37.506763681]",양천구
6058,114000219,15323,양천중앙도서관.푸른마을2단지,126.8340906245,37.5141912766,일반차로,"[126.8340906245, 37.5141912766]",양천구
6059,114000220,15324,양천중앙도서관.푸른마을2단지,126.833988,37.514032,일반차로,"[126.833988, 37.514032]",양천구
6060,114000221,15325,신월시영아파트.강월초등학교,126.83553,37.515731,일반차로,"[126.83553, 37.515731]",양천구
6061,114000222,15326,신월시영아파트.강월초등학교,126.835305,37.515937,일반차로,"[126.835305, 37.515937]",양천구
6062,114000223,15327,강월초교입구사거리,126.8377839139,37.516359946,일반차로,"[126.8377839139, 37.516359946]",양천구
6063,114000224,15328,강월초교입구사거리,126.8378578575,37.5166925531,일반차로,"[126.8378578575, 37.5166925531]",양천구
6064,114000225,15329,금실어린이공원,126.8377738585,37.5179542888,일반차로,"[126.8377738585, 37.5179542888]",양천구
6065,114000226,15330,금실어린이공원,126.8378532017,37.5174285164,일반차로,"[126.8378532017, 37.5174285164]",양천구
6066,114000227,15331,강신중학교,126.839808639,37.5158628238,일반차로,"[126.839808639, 37.5158628238]",양천구
6067,114000228,15332,양서중학교,126.8309503372,37.5315463481,일반차로,"[126.8309503372, 37.5315463481]",양천구
6068,114000229,15333,신월1동주민센터.신월보건지소,126.8310479701,37.5321812684,일반차로,"[126.8310479701, 37.5321812684]",양천구
6069,114000230,15334,신월3동주민센터.신월3동우체국,126.8288288926,37.5346648231,일반차로,"[126.8288288926, 37.5346648231]",양천구
6070,114000231,15335,서부여성발전센터,126.8290121927,37.535164296,일반차로,"[126.8290121927, 37.535164296]",양천구
6071,114000232,15336,가로공원공영주차장.신영시장,126.8330270198,37.5363759851,일반차로,"[126.8330270198, 37.5363759851]",양천구
6072,114000233,15337,국민은행신월동지점,126.8291078692,37.5358050015,일반차로,"[126.8291078692, 37.5358050015]",양천구
6073,114000234,15338,서서울호수공원,126.8325721561,37.5290347298,일반차로,"[126.8325721561, 37.5290347298]",양천구
6074,114000235,15339,서서울호수공원,126.8329212932,37.5292505864,일반차로,"[126.8329212932, 37.5292505864]",양천구
6075,114000236,15340,하나은행신월동지점,126.8379926774,37.5304768462,일반차로,"[126.8379926774, 37.5304768462]",양천구
6076,114000237,15341,가로공원공영주차장,126.8325796723,37.5366508061,일반차로,"[126.8325796723, 37.5366508061]",양천구
6077,114000238,15342,양원초교.광영여고,126.8235071834,37.5390246021,일반차로,"[126.8235071834, 37.5390246021]",양천구
6078,114000239,15343,국민은행신월동지점,126.8296038629,37.5362149282,일반차로,"[126.8296038629, 37.5362149282]",양천구
6079,114000240,15344,메디힐병원.서울금융고등학교,126.8277768675,37.5369926272,일반차로,"[126.8277768675, 37.5369926272]",양천구
6080,114000241,15345,신화중학교,126.8313535928,37.5396509921,가로변전일,"[126.8313535928, 37.5396509921]",양천구
6081,114000242,15346,신월5동주민센터.신월중학교,126.8275323805,37.5394783937,가로변전일,"[126.8275323805, 37.5394783937]",양천구
6082,114000243,15347,신월5동주민센터.신월중학교,126.8276175857,37.539249826,가로변전일,"[126.8276175857, 37.539249826]",양천구
6083,114000244,15348,신월중학교입구,126.8252825465,37.539901203,일반차로,"[126.8252825465, 37.539901203]",양천구
6084,114000245,15349,신월중학교입구,126.8256582331,37.540131513,일반차로,"[126.8256582331, 37.540131513]",양천구
6085,114000246,15350,광영고.신동아파밀리에아파트,126.8233615523,37.5393577897,일반차로,"[126.8233615523, 37.5393577897]",양천구
6086,114000247,15351,서울금융고등학교,126.8270247465,37.537320428,일반차로,"[126.8270247465, 37.537320428]",양천구
6087,114000248,15352,신화중학교,126.8307630563,37.53935507,가로변시간,"[126.8307630563, 37.53935507]",양천구
6088,114000249,15353,경창빌딩,126.8385824561,37.5186593622,일반차로,"[126.8385824561, 37.5186593622]",양천구
6089,114000250,15354,신월시영아파트중문,126.8367192546,37.519095445,일반차로,"[126.8367192546, 37.519095445]",양천구
6090,114000251,15355,신월시영아파트중문,126.8365807096,37.5190839909,일반차로,"[126.8365807096, 37.5190839909]",양천구
6091,114000252,15356,목원초등학교.서울지방식품의약품안전청,126.8813545994,37.5430365015,일반차로,"[126.8813545994, 37.5430365015]",양천구
6092,114000253,15357,양천노인종합복지관,126.8590792819,37.5104115391,일반차로,"[126.8590792819, 37.5104115391]",양천구
6093,114000432,15358,양서중학교,126.8302430927,37.5327964612,일반차로,"[126.8302430927, 37.5327964612]",양천구
6094,114000254,15359,양명초등학교,126.8572418295,37.5160834014,일반차로,"[126.8572418295, 37.5160834014]",양천구
6095,114000255,15360,신목동역-서울지방식품의약품안전청,126.8833582818,37.5436358,일반차로,"[126.8833582818, 37.5436358]",양천구
6096,114000256,15361,목동파라곤,126.8755214922,37.5300691011,일반차로,"[126.8755214922, 37.5300691011]",양천구
6097,114000257,15362,신정현대아파트.서부트럭터미널,126.8420065648,37.5090108927,일반차로,"[126.8420065648, 37.5090108927]",양천구
6098,114000258,15363,대일관광고.푸른마을3단지,126.836221887,37.5111781699,일반차로,"[126.836221887, 37.5111781699]",양천구
6099,114000259,15364,대일관광고.푸른마을3단지,126.835885,37.511319,일반차로,"[126.835885, 37.511319]",양천구
6100,114000260,15365,신정현대아파트,126.8410741599,37.5086365863,일반차로,"[126.8410741599, 37.5086365863]",양천구
6101,114000261,15366,신월문화체육센터,126.8368773634,37.5205124893,일반차로,"[126.8368773634, 37.5205124893]",양천구
6102,114000262,15367,목동아파트1102동앞,126.8601148427,37.5115795698,일반차로,"[126.8601148427, 37.5115795698]",양천구
6103,114000263,15368,트럭터미널주유소앞,126.8415437621,37.5090877674,일반차로,"[126.8415437621, 37.5090877674]",양천구
6104,114000264,15369,목동아파트1434동앞,126.8719841075,37.5156610604,일반차로,"[126.8719841075, 37.5156610604]",양천구
6105,114000438,15370,목동아파트1216동앞,126.8621876648,37.5115054211,일반차로,"[126.8621876648, 37.5115054211]",양천구
6106,114000265,15371,신월동기점,126.8385294276,37.5294773535,일반차로,"[126.8385294276, 37.5294773535]",양천구
6107,114000439,15372,목동아파트1218동앞,126.8636210262,37.5117167505,일반차로,"[126.8636210262, 37.5117167505]",양천구
6108,114000267,15373,양천공영차고지,126.8372401516,37.5084237826,일반차로,"[126.8372401516, 37.5084237826]",양천구
6109,114000268,15374,국립과학수사연구소.고강동종점,126.8259331584,37.5236309481,일반차로,"[126.8259331584, 37.5236309481]",양천구
6110,114000270,15377,신월동기점,126.8386621156,37.529576762,일반차로,"[126.8386621156, 37.529576762]",강서구
6111,114000271,15378,양천공영차고지,126.8376467183,37.5087014007,일반차로,"[126.8376467183, 37.5087014007]",양천구
6112,114000404,15380,신정이펜하우스3단지,126.8304154243,37.5141211783,일반차로,"[126.8304154243, 37.5141211783]",양천구
6113,114000283,15399,푸른마을1단지아파트,126.8353881275,37.5126531126,일반차로,"[126.8353881275, 37.5126531126]",양천구
6114,118000605,15401,신교정입구,126.8731319101,37.519349849,일반차로,"[126.8731319101, 37.519349849]",양천구
6115,114000285,15402,중부운수앞,126.8307794978,37.5242203138,일반차로,"[126.8307794978, 37.5242203138]",양천구
6116,114000288,15405,이든채아파트.서남병원,126.83488,37.512878,일반차로,"[126.83488, 37.512878]",양천구
6117,114000289,15408,신정교입구,126.8736165136,37.5185708053,일반차로,"[126.8736165136, 37.5185708053]",양천구
6118,114000292,15411,신월청소년문화센터,126.8264417895,37.5354516006,일반차로,"[126.8264417895, 37.5354516006]",양천구
6119,114000293,15412,계남초등학교,126.8577593241,37.5101238882,일반차로,"[126.8577593241, 37.5101238882]",양천구
6120,114000294,15413,신목동역-서울지방식품의약품안전청,126.8835304104,37.5436432794,일반차로,"[126.8835304104, 37.5436432794]",양천구
6121,114000402,15414,보람쉬움아파트,126.8354825562,37.5297998782,일반차로,"[126.8354825562, 37.5297998782]",양천구
6122,114000403,15415,보람쉬움아파트.신영시장,126.8352416009,37.5299044382,일반차로,"[126.8352416009, 37.5299044382]",양천구
6123,114000405,15416,신정이펜하우스2단지,126.8305420682,37.5145028936,일반차로,"[126.8305420682, 37.5145028936]",양천구
6124,114000431,15418,신정이펜하우스1단지아파트,126.8280797488,37.5139871425,일반차로,"[126.8280797488, 37.5139871425]",양천구
6125,114000423,15419,이펜하우스1단지.어르신요양센터,126.8288196516,37.5133944288,일반차로,"[126.8288196516, 37.5133944288]",양천구
6126,114000430,15420,양천어르신요양센터,126.8284425852,37.5136182192,일반차로,"[126.8284425852, 37.5136182192]",양천구
6127,114000425,15421,신정이펜하우스3.4단지,126.8304616781,37.5112884496,일반차로,"[126.8304616781, 37.5112884496]",양천구
6128,114000424,15423,신정이펜하우스5단지.서남병원,126.8334705173,37.511195872,일반차로,"[126.8334705173, 37.511195872]",양천구
6129,114900007,15500,푸른마을아파트3단지,126.8365884562,37.5120789765,마을버스,"[126.8365884562, 37.5120789765]",양천구
6130,114900082,15501,강서보건소.9호선등촌역,126.8680475339,37.5490380694,마을버스,"[126.8680475339, 37.5490380694]",양천구
6131,114900080,15503,목2동주민센터,126.8713802897,37.5461773017,마을버스,"[126.8713802897, 37.5461773017]",양천구
